bibcode,astraatmadja_2016,bj_2015,bj_2018,bj_2021,bj_2023
2018ApJ...868..110S,0,0,3,0,0
2018ApJ...868..151D,0,0,1,0,0
2018ApJ...869...33H,0,1,0,0,0
2018ApJ...869...82R,1,0,0,0,0
2018ApJ...869L..31D,0,0,1,0,0
2018ApJ...869L..41A,1,0,0,0,0
2018AstL...44..184B,3,0,0,0,0
2018AstL...44..236V,0,2,0,0,0
2018AstL...44..248G,1,0,0,0,0
2018AstL...44..629V,1,1,0,0,0
2018IAUS..330...13B,0,1,0,0,0
2018IAUS..330...23G,0,1,0,0,0
2018IAUS..330..181M,1,0,0,0,0
2018IAUS..330..185P,0,1,0,0,0
2018IAUS..330..222H,1,0,0,0,0
2018IAUS..330..259S,1,0,0,0,0
2018IAUS..330..309M,1,0,0,0,0
2018IAUS..330..337N,1,0,0,0,0
2018IAUS..330..341R,2,0,0,0,0
2018IAUS..334..279C,2,0,0,0,0
2018IAUS..337..344I,0,1,0,0,0
2018JAVSO..46..106S,0,1,0,0,0
2018MNRAS.474.1826S,0,1,0,0,0
2018MNRAS.475.1093Y,1,0,0,0,0
2018MNRAS.475.1121G,1,0,0,0,0
2018MNRAS.475.1203C,0,1,0,0,0
2018MNRAS.475.2679C,5,2,0,0,0
2018MNRAS.475L.122J,1,0,0,0,0
2018MNRAS.476..381W,1,3,0,0,0
2018MNRAS.476.2743F,1,0,0,0,0
2018MNRAS.476.4697M,1,1,0,0,0
2018MNRAS.476.5216D,5,0,0,0,0
2018MNRAS.477.2068K,3,0,0,0,0
2018MNRAS.477.3197R,1,1,0,0,0
2018MNRAS.477.5261B,1,1,0,0,0
2018MNRAS.477.5279M,1,1,0,0,0
2018MNRAS.477L..50G,1,0,0,0,0
2018MNRAS.478.3809S,1,0,0,0,0
2018MNRAS.478.3987K,0,0,1,0,0
2018MNRAS.479.1505G,0,0,1,0,0
2018MNRAS.479.2789B,2,1,1,0,0
2018MNRAS.479.4440G,3,0,0,0,0
2018MNRAS.479L..96R,0,0,1,0,0
2018MNRAS.480..302K,1,4,1,0,0
2018MNRAS.480.2153D,1,0,0,0,0
2018MNRAS.480.3132Q,0,0,1,0,0
2018MNRAS.480.3942H,0,1,1,0,0
2018MNRAS.481..703I,0,0,1,0,0
2018MNRAS.481.1028H,1,0,0,0,0
2018MNRAS.481.1083P,0,0,1,0,0
2018MNRAS.481.2970C,0,2,0,0,0
2018MNRAS.481.3033S,0,3,0,0,0
2018MNRAS.481.3357S,0,0,1,0,0
2018MNRAS.481.3887D,1,0,3,0,0
2018MNRAS.481.3902B,1,1,0,0,0
2018MNRAS.481.4093S,0,0,1,0,0
2018MNRAS.481.4960R,0,1,1,0,0
2018MNRAS.481.5163J,0,0,3,0,0
2018MNRAS.481.5532P,0,0,1,0,0
2018MNRAS.481L..21P,2,1,1,0,0
2018MNRAS.481L.125S,0,1,0,0,0
2018NewAR..83...28B,0,0,2,0,0
2018PASP..130k4302K,0,0,5,0,0
2018PhDT........23V,0,0,3,0,0
2018RMxAA..54..341N,0,0,1,0,0
2018RNAAS...2...32M,1,0,0,0,0
2018RNAAS...2...51M,0,0,2,0,0
2018RNAAS...2..160Z,0,0,1,0,0
2018RNAAS...2..180T,0,0,1,0,0
2018RNAAS...2..181J,0,0,1,0,0
2018RNAAS...2..192B,0,0,2,0,0
2018RNAAS...2..214G,0,0,1,0,0
2018arXiv180403681R,1,0,0,0,0
2018arXiv180407766H,6,0,0,0,0
2018arXiv180410136N,0,0,2,0,0
2018arXiv180611397T,0,1,11,0,0
2018arXiv180905434E,0,0,1,0,0
2018arXiv181003938K,0,1,0,0,0
2018arXiv181206262M,0,0,4,0,0
2018csss.confE..38R,0,1,0,0,0
2018csss.confE..90K,0,0,1,0,0
2019A&A...621A..37P,3,0,10,0,0
2019A&A...621A..48L,1,0,1,0,0
2019A&A...621A..63G,0,0,1,0,0
2019A&A...621A..92S,0,1,10,0,0
2019A&A...621A..93S,0,0,3,0,0
2019A&A...621A.123C,2,0,0,0,0
2019A&A...621L...3M,0,0,1,0,0
2019A&A...621L...9Y,0,0,1,0,0
2019A&A...622A..50H,0,0,1,0,0
2019A&A...622A..61S,0,0,2,0,0
2019A&A...622A..72V,2,0,0,0,0
2019A&A...622A.110F,0,0,2,0,0
2019A&A...622A.118S,1,3,1,0,0
2019A&A...622A.186S,0,0,3,0,0
2019A&A...622A.211C,0,0,1,0,0
